PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2017;12;01;00002;V;00004;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00003;V;00003;V;00002;V;00003;V;00003;V;00002;V;00001;V;00002;V;00002;V;00001;V
28;079;4;1;28079004_1_38;2017;12;02;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00003;V;00003;V;00002;V;00002;V;00002;V;00003;V;00002;V;00002;V
28;079;4;1;28079004_1_38;2017;12;03;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00003;V;00002;V;00005;V;00005;V;00004;V;00005;V;00004;V;00004;V;00003;V;00004;V;00006;V;00009;V;00007;V;00007;V;00009;V;00006;V;00003;V
28;079;4;1;28079004_1_38;2017;12;04;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00005;V;00009;V;00012;V;00011;N;00007;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00008;V;00009;V;00005;V;00004;V;00003;V
28;079;4;1;28079004_1_38;2017;12;05;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00007;V;00010;V;00011;V;00012;V;00008;V;00009;V;00009;V;00008;V;00007;V;00005;V;00005;V;00006;V;00013;V;00017;V;00014;V;00010;V;00007;V
28;079;4;1;28079004_1_38;2017;12;06;00005;V;00004;V;00005;V;00004;V;00003;V;00002;V;00002;V;00003;V;00004;V;00004;V;00006;V;00005;V;00009;V;00007;V;00007;V;00007;V;00005;V;00005;V;00007;V;00011;V;00014;V;00010;V;00007;V;00005;V
28;079;4;1;28079004_1_38;2017;12;07;00004;V;00004;V;00003;V;00002;V;00002;V;00001;V;00002;V;00005;V;00006;V;00006;V;00007;V;00009;V;00011;V;00010;V;00007;V;00006;V;00005;V;00006;V;00008;V;00007;V;00011;V;00014;V;00014;V;00013;V
28;079;4;1;28079004_1_38;2017;12;08;00013;V;00012;V;00008;V;00007;V;00006;V;00004;V;00003;V;00006;V;00007;V;00009;V;00006;V;00004;V;00004;V;00004;V;00006;V;00008;V;00007;V;00006;V;00005;V;00005;V;00006;V;00007;V;00003;V;00004;V
28;079;4;1;28079004_1_38;2017;12;09;00006;V;00005;V;00005;V;00004;V;00004;V;00003;V;00003;V;00003;V;00004;V;00009;V;00009;V;00007;V;00005;V;00004;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V
28;079;4;1;28079004_1_38;2017;12;10;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V
28;079;4;1;28079004_1_38;2017;12;11;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V
28;079;4;1;28079004_1_38;2017;12;12;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00005;V;00009;V;00015;V;00005;V;00003;V;00002;V;00002;V;00002;V;00002;V;00001;V;00001;V;00002;V;00003;V;00003;V;00006;V;00006;V;00006;V
28;079;4;1;28079004_1_38;2017;12;13;00005;V;00004;V;00002;V;00001;V;00001;V;00001;V;00003;V;00007;V;00012;V;00013;V;00011;V;00005;V;00003;V;00004;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V
28;079;4;1;28079004_1_38;2017;12;14;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00002;V;00001;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V
28;079;4;1;28079004_1_38;2017;12;15;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00006;V
28;079;4;1;28079004_1_38;2017;12;16;00006;V;00007;V;00006;V;00006;V;00005;V;00005;V;00004;V;00003;V;00004;V;00006;V;00006;V;00004;V;00003;V;00003;V;00003;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00001;V
28;079;4;1;28079004_1_38;2017;12;17;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00003;V;00003;V;00001;V;00002;V;00003;V;00003;V;00003;V;00004;V;00005;V;00003;V;00003;V;00003;V;00003;V;00006;V;00004;V
28;079;4;1;28079004_1_38;2017;12;18;00003;V;00002;V;00001;V;00001;V;00001;V;00001;V;00002;V;00009;V;00010;V;00012;V;00013;V;00010;V;00006;V;00006;V;00004;V;00003;V;00003;V;00002;V;00002;V;00003;V;00003;V;00005;V;00006;V;00008;V
28;079;4;1;28079004_1_38;2017;12;19;00003;V;00003;V;00002;V;00002;V;00001;V;00003;V;00003;V;00002;V;00002;V;00003;V;00004;V;00004;V;00005;V;00005;V;00005;V;00004;V;00003;V;00006;V;00008;V;00013;V;00010;V;00014;V;00012;V;00008;V
28;079;4;1;28079004_1_38;2017;12;20;00004;V;00004;V;00003;V;00003;V;00002;V;00002;V;00003;V;00008;V;00010;V;00007;V;00007;V;00009;V;00007;V;00008;V;00007;V;00008;V;00007;V;00007;V;00008;V;00011;V;00014;V;00016;V;00018;V;00011;V
28;079;4;1;28079004_1_38;2017;12;21;00006;V;00005;V;00005;V;00003;V;00002;V;00003;V;00004;V;00006;V;00009;V;00014;V;00017;V;00013;V;00005;V;00005;V;00006;V;00005;V;00004;V;00003;V;00004;V;00005;V;00011;V;00017;V;00017;V;00012;V
28;079;4;1;28079004_1_38;2017;12;22;00007;V;00005;V;00005;V;00004;V;00004;V;00003;V;00004;V;00010;V;00013;V;00011;V;00011;V;00008;V;00009;V;00009;V;00009;V;00010;V;00009;V;00008;V;00008;V;00011;V;00015;V;00018;V;00016;V;00015;V
28;079;4;1;28079004_1_38;2017;12;23;00010;V;00009;V;00007;V;00007;V;00006;V;00005;V;00005;V;00005;V;00004;V;00006;V;00001;V;00001;V;00002;V;00003;V;00003;V;00004;V;00003;V;00004;V;00004;V;00002;V;00002;V;00003;V;00003;V;00007;V
28;079;4;1;28079004_1_38;2017;12;24;00006;V;00006;V;00004;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00003;V;00004;V;00004;V;00002;V;00002;V;00002;V;00002;V;00001;V;00002;V;00003;V;00006;V;00008;V;00006;V;00004;V;00003;V
28;079;4;1;28079004_1_38;2017;12;25;00004;V;00005;V;00005;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00003;V;00004;V;00004;V;00004;V
28;079;4;1;28079004_1_38;2017;12;26;00003;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V
28;079;4;1;28079004_1_38;2017;12;27;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00002;V;00001;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V
28;079;4;1;28079004_1_38;2017;12;28;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00002;V;00001;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V
28;079;4;1;28079004_1_38;2017;12;29;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00002;V;00002;V
28;079;4;1;28079004_1_38;2017;12;30;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00003;V;00004;V;00006;V;00007;V
28;079;4;1;28079004_1_38;2017;12;31;00005;V;00005;V;00004;V;00004;V;00003;V;00003;V;00003;V;00002;V;00001;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V
28;079;4;6;28079004_6_48;2017;12;01;000.5;V;000.7;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V;000.5;V
28;079;4;6;28079004_6_48;2017;12;02;000.4;V;000.5;V;000.5;V;000.4;V;000.5;V;000.4;V;000.5;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V;000.4;V
28;079;4;6;28079004_6_48;2017;12;03;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.5;V;000.5;V;000.6;V;000.6;V;000.7;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.6;V;000.6;V;000.8;V;001.0;V;000.8;V;000.6;V
28;079;4;6;28079004_6_48;2017;12;04;000.6;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.7;V;000.9;V;001.1;V;001.1;N;000.7;V;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V;000.6;V;000.6;V;001.1;V;001.1;V;000.8;V;000.7;V;000.7;V
28;079;4;6;28079004_6_48;2017;12;05;000.6;V;000.5;V;000.5;V;000.5;V;000.5;V;000.4;V;000.5;V;000.8;V;001.0;V;001.2;V;001.6;V;000.9;V;000.9;V;000.7;V;000.6;V;000.5;V;000.5;V;000.5;V;000.8;V;001.6;V;001.9;V;001.5;V;001.2;V;001.0;V
28;079;4;6;28079004_6_48;2017;12;06;000.9;V;000.8;V;000.9;V;000.8;V;000.7;V;000.6;V;000.6;V;000.7;V;000.7;V;000.7;V;000.8;V;000.7;V;000.8;V;000.5;V;000.6;V;000.6;V;000.5;V;000.6;V;001.1;V;001.3;V;001.5;V;001.2;V;000.9;V;000.8;V
28;079;4;6;28079004_6_48;2017;12;07;000.8;V;000.8;V;000.7;V;000.6;V;000.6;V;000.6;V;000.6;V;000.8;V;000.9;V;001.0;V;001.0;V;001.1;V;001.1;V;000.8;V;000.5;V;000.5;V;000.5;V;000.7;V;001.1;V;000.9;V;001.2;V;001.6;V;001.7;V;001.5;V
28;079;4;6;28079004_6_48;2017;12;08;001.4;V;001.2;V;001.0;V;000.9;V;000.9;V;000.7;V;000.6;V;000.8;V;000.9;V;001.0;V;000.9;V;000.6;V;000.6;V;000.6;V;000.8;V;000.7;V;000.8;V;000.8;V;000.6;V;000.7;V;000.9;V;000.9;V;000.7;V;000.7;V
28;079;4;6;28079004_6_48;2017;12;09;000.8;V;000.8;V;000.8;V;000.8;V;000.8;V;000.7;V;000.7;V;000.7;V;000.8;V;001.3;V;001.3;V;001.0;V;000.7;V;000.6;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V
28;079;4;6;28079004_6_48;2017;12;10;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V
28;079;4;6;28079004_6_48;2017;12;11;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V
28;079;4;6;28079004_6_48;2017;12;12;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.8;V;001.6;V;001.8;V;000.8;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.5;V;000.6;V;000.7;V;000.9;V;000.9;V;000.9;V
28;079;4;6;28079004_6_48;2017;12;13;000.8;V;000.7;V;000.5;V;000.4;V;000.4;V;000.4;V;000.6;V;000.9;V;001.4;V;001.3;V;001.2;V;000.7;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V
28;079;4;6;28079004_6_48;2017;12;14;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V
