28
Consejería de Medio Ambiente Comunidad de Madrid
Alcalá 16
28001 MADRID
0230
28013002Aranjuez                                            40033277778N3591644444W501 11
07Monóxido de nitrógeno                08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno                 08Quimioluminiscencia        000319130.00
10Particulas en suspensión             49Absorción beta             000312500.00
14Ozono                                06Absorción ultravioleta     000319970.00
81Velocidad del viento                 89Meteorología               000350.00.00
82Dirección del viento                 89Meteorología               000303600.00
83Temperatura media                    89Meteorología               000360.0-0.0
86Humedad relativa                     89Meteorología               000301000.00
87Presión barométrica                  89Meteorología               000310880820
88Radiación solar                      89Meteorología               000325000.00
89Precipitación                        89Meteorología               000350.00.00
28065014Getafe                                              40314518N3716868W667 11
07Monóxido de nitrógeno                08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno                 08Quimioluminiscencia        000319130.00
10Particulas en suspensión             49Absorción beta             000312500.00
14Ozono                                06Absorción ultravioleta     000319970.00
81Velocidad del viento                 89Meteorología               000350.00.00
82Dirección del viento                 89Meteorología               000303600.00
83Temperatura media                    89Meteorología               000360.0-0.0
86Humedad relativa                     89Meteorología               000301000.00
87Presión barométrica                  89Meteorología               000310880820
88Radiación solar                      89Meteorología               000325000.00
89Precipitación                        89Meteorología               000350.00.00
28092005Móstoles                                            40324225N3876772W660 13
01Dióxido de azufre                    38Fluorescencia ultravioleta 000326620.00
06Monóxido de carbono                  48Espectrometría infrarroja n000365.00.00
07Monóxido de nitrógeno                08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno                 08Quimioluminiscencia        000319130.00
10Particulas en suspensión             49Absorción beta             000310000.00
14Ozono                                06Absorción ultravioleta     000319970.00
81Velocidad del viento                 89Meteorología               000350.00.00
82Dirección del viento                 89Meteorología               000303600.00
83Temperatura media                    89Meteorología               000360.0-0.0
86Humedad relativa                     89Meteorología               000301000.00
87Presión barométrica                  89Meteorología               000310880820
88Radiación solar                      89Meteorología               000325000.00
89Precipitación                        89Meteorología               000350.00.00
28123002Rivas Vaciamadrid                                   40359705556N3542902778W608 12
07Monóxido de nitrógeno                08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno                 08Quimioluminiscencia        000319130.00
10Particulas en suspensión             49Absorción beta             000310000.00
14Ozono                                08Quimioluminiscencia        000319970.00
14Ozono                                06Absorción ultravioleta     000319970.00
81Velocidad del viento                 89Meteorología               000350.00.00
82Dirección del viento                 89Meteorología               000303600.00
83Temperatura media                    89Meteorología               000360.0-0.0
86Humedad relativa                     89Meteorología               000301000.00
87Presión barométrica                  89Meteorología               000310880820
88Radiación solar                      89Meteorología               000325000.00
89Precipitación                        89Meteorología               000350.00.00
28016001El Atazar                                           40909019444N3467902778W995 19
01Dióxido de azufre                    38Fluorescencia ultravioleta 000326620.00
06Monóxido de carbono                  48Espectrometría infrarroja n000365.00.00
07Monóxido de nitrógeno                08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno                 08Quimioluminiscencia        000319130.00
09Particulas<2.5                       49Absorción beta             000312500.00
10Particulas en suspensión             49Absorción beta             000312500.00
14Ozono                                06Absorción ultravioleta     000319970.00
20Tolueno                              59Cromatografía de gases     000310000.00
30Benceno                              59Cromatografía de gases     000310000.00
31Xileno                               59Cromatografía de gases     000310000.00
42Carburos totales                     02Ionización llama           000326620.00
44Hidrocarburos no metánicos           02Ionización llama           000326620.00
81Velocidad del viento                 89Meteorología               000350.00.00
82Dirección del viento                 89Meteorología               000303600.00
83Temperatura media                    89Meteorología               000360.0-0.0
