28005002001038021707010001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0001.00V 0003.00V 
28005002006048021707010000.40V 0000.40V 0000.40V 0000.40V 0000.40V 0000.40V 0000.40V 0000.40V 0000.40V 0000.40V 0000.40V 0000.40V 0000.30V 0000.30V 0000.30V 0000.30V 0000.30V 0000.30V 0000.30V 0000.30V 0000.30V 0000.40V 0000.30V 0000.30V 
28005002007008021707010001.00V 0002.00V 0001.00V 0001.00V 0001.00V 0002.00V 0002.00V 0003.00V 0003.00V 0003.00V 0003.00V 0002.00V 0002.00V 0002.00V 0002.00V 0002.00V 0002.00V 0002.00V 0003.00V 0004.00V 0002.00V 0002.00V 0002.00V 0002.00V 
28005002008008021707010008.00V 0007.00V 0005.00V 0007.00V 0008.00V 00010.0V 0008.00V 0008.00V 0008.00V 0007.00V 0008.00V 0007.00V 0006.00V 0005.00V 0007.00V 0005.00V 0008.00V 00010.0V 00013.0V 00019.0V 00013.0V 00016.0V 00015.0V 00017.0V 
280050020100490217070100016.0V 00014.0V 0007.00V 0008.00V 0007.00V 0009.00V 0008.00V 0007.00V 0004.00V 0003.00V 0004.00V 0001.00V 0004.00V 0001.00V 0005.00V 0006.00V 0003.00V 0009.00V 0007.00V 00015.0V 00024.0V 00022.0V 00012.0V 00013.0V 
280050020120080217070100010.0V 00010.0V 0007.00V 0009.00V 00010.0V 00013.0V 00011.0V 00013.0V 00013.0V 00012.0V 00013.0V 00010.0V 0009.00V 0008.00V 00010.0V 0008.00V 00011.0V 00013.0V 00018.0V 00025.0V 00016.0V 00019.0V 00018.0V 00020.0V 
280050020140060217070100060.0V 00059.0V 00055.0V 00055.0V 00058.0V 00061.0V 00067.0V 00072.0V 00072.0V 00073.0V 00075.0V 00077.0V 00079.0V 00080.0V 00080.0V 00081.0V 00078.0V 00076.0V 00072.0V 00067.0V 00067.0V 00060.0V 00061.0V 00055.0V 
28005002081089021707010001.90V 0002.40V 0002.40V 0002.10V 0002.90V 0002.30V 0002.40V 0002.90V 0003.10V 0002.70V 0003.30V 0002.60V 0002.60V 0002.90V 0002.50V 0002.80V 0002.80V 0002.20V 0002.00V 0001.80V 0002.70V 0002.10V 0001.90V 0001.70V 
28005002082089021707010000119V 0000131V 0000130V 0000137V 0000133V 0000137V 0000137V 0000141V 0000141V 0000143V 0000162V 0000161V 0000144V 0000144V 0000151V 0000169V 0000144V 0000158V 0000143V 0000129V 0000108V 0000158V 0000145V 0000162V 
280050020830890217070100015.3V 00014.2V 00013.2V 00012.7V 00012.3V 00012.4V 00013.5V 00014.6V 00015.7V 00017.2V 00018.0V 00019.1V 00020.0V 00020.8V 00021.7V 00022.1V 00022.6V 00022.9V 00022.9V 00021.9V 00020.2V 00018.8V 00017.5V 00016.6V 
