Pre-process PC 08  SC 47  yB 0 
	 value yy mm dd hh
	000024 12  1 28 11
	000022 12  1 28 12
	000025 12  1 28 13
	000022 12  1 28 14
	000000 12  3 25  3
	000012 12  4 13 15
	000012 12  7 20 14
	000020 12  9 19 14
	000126 12  9 19 15
	000022 12  9 19 16
	000013 12  9 19 17
	000179 12  9 19 18
	000071 12  9 20  9
	000095 12  9 20 10
	000034 12  9 20 11
	000049 12 10  9 10
	000144 12 10  9 11
	000001 12 12  4  2
	000001 12 12  4  3
	000001 12 12  4  4
	000001 12 12  4  5
	000001 12 12  4  6
	000001 12 12  4  7
	000001 12 12  4  8
	000001 12 12  4  9
	000051 12 12  4 10
	000153 12 12 18 13
	000010 13  2 28 11
	000000 13  3 31  3
	000006 13  6 14 15
	000010 13  8 30 15
	000040 13  9 16 10
	000036 13  9 16 11
	000101 13  9 16 12
	000003 13  9 21 11
	000148 13  9 21 12
	000014 13 11 14 12
	000017 13 11 22 13
	000068 13 12 11  9
	000035 14  2  6 10
	000010 14  3 28 11
	000000 14  3 30  3
	000096 14  7  2 15
	000014 14  8  6 14
	000006 14  9 17 15
	000001 14  9 30 14
	000224 14  9 30 15
	000009 14 10 16 14
	000036 14 10 22 14
	000051 14 10 28 11
	000078 14 12 10 15
	000064 14 12 16 14
	000106 15  1  7 12
	000081 15  1  8  9
	000000 15  1 20 12
	000042 15  2  5 10
	000079 15  2 19 10
	000102 15  3 10 11
	000094 15  3 10 12
	000036 15  3 10 13
	000052 15  3 18 15
	000027 15  3 20 16
	000000 15  3 29  3
	000048 15  4 16 10
	000100 15  5 12  9
	000042 15  5 26  9
	000036 15  5 26 10
	000000 15  5 28 17
	000014 15  6 11 10
	000003 15  6 26 11
	000069 15  6 26 12
	000097 15  7 10  9
	000003 15  7 17 19
	000001 15  7 17 20
	000001 15  7 17 21
	000001 15  7 17 22
	000001 15  7 17 23
	000001 15  7 17 24
	000001 15  7 18  1
	000001 15  7 18  2
	000001 15  7 18  3
	000001 15  7 18  4
	000001 15  7 18  5
	000001 15  7 18  6
	000001 15  7 18  7
	000001 15  7 18  8
	000001 15  7 18  9
	000001 15  7 18 10
	000001 15  7 18 11
	000054 15  8  4  9
	000014 15  9 22 15
	000060 15  9 22 16
	000119 15  9 22 17
	000020 15  9 30 10
	000016 15 10  5 12
	000063 15 10 15 10
	000006 15 10 23 21
	000001 15 10 23 22
	000001 15 10 23 23
	000001 15 10 23 24
	000001 15 10 24  1
	000001 15 10 24  2
	000001 15 10 24  3
	000001 15 10 24  4
	000001 15 10 24  5
	000001 15 10 24  6
	000001 15 10 24  7
	000001 15 10 24  8
	000001 15 10 24  9
	000001 15 10 24 10
	000035 15 10 26 10
	000015 15 10 26 11
	000006 15 10 26 12
	000001 15 10 26 13
	000034 15 11 13  8
	000155 15 11 24 10
	000091 15 11 24 11
	000129 15 11 24 12
	000063 15 12  7  9
	000005 15 12  7 11
	000049 15 12 15 14
	000066 15 12 17 11
	000263 15 12 17 12
	000095 15 12 21 11
	000088 15 12 22 10
	000013 16  1  4 14
	000000 16  2 13 17
	000000 16  2 13 18
	000000 16  2 13 19
	000001 16  2 13 20
	000000 16  3 27  3
	000013 16  3 28 15
	000011 16  4 14 13
	000007 16  4 14 14
	000007 16  4 14 15
	000007 16  4 14 16
	000007 16  4 14 17
	000022 16  5 12 10
	000087 16  6  9 10
	000080 16  7  6  9
	000025 16  7 20 12
	000110 16 10 11 10
	000039 16 11 21 10
	000024 16 11 21 11
	000043 16 11 23 12
	000100 16 12 20 19
   -> notV 0000146 of 0043848 (0.33 prctg)
Pre-process PC 08  SC 50  yB 0 
	 value yy mm dd hh
	000054 12  1 18 13
	000070 12  1 23 14
	000000 12  1 23 15
	000000 12  1 23 16
	000000 12  1 23 17
	000000 12  1 23 18
	000000 12  1 23 19
	000000 12  1 23 20
	000000 12  1 23 21
	000000 12  1 23 22
	000000 12  1 23 23
	000000 12  1 23 24
	000041 12  2  8 11
	000000 12  2  8 12
	000000 12  2  8 13
	000038 12  2  8 14
	000000 12  3 25  3
	000029 12  4 16 14
	000000 12  5  8 13
	000000 12  5  8 14
	000000 12  5  8 15
	000000 12  5  8 16
	000022 12  5  8 17
	000011 12  5 31 15
	000063 12  6 20 13
	000021 12  7 18 12
	000034 12  8  3 10
	000023 12  9  7 12
	000000 12  9  7 13
	000000 12  9  7 14
	000011 12  9  7 15
	000039 12  9 27 11
	000116 12  9 27 12
	000066 12 10  9 13
	000075 12 10 10 14
	000049 12 10 10 15
	000072 12 10 23 15
	000054 12 10 24 11
	000017 12 10 27 18
	000070 12 11 21 11
	000014 12 12  5  1
	000045 12 12  5 15
	000053 12 12 21 11
	000059 12 12 21 12
	000088 12 12 26 11
	000067 13  1  8 15
	000000 13  1  8 16
	000000 13  1  8 17
	000000 13  1  8 18
	000017 13  1  8 19
	000061 13  1  9 12
	000021 13  1 13 11
	000109 13  1 14 10
	000065 13  1 14 12
	000056 13  1 14 14
	000053 13  1 23 20
	000077 13  1 25  8
