%    run      In      hN   lrAlg         lr      Cy
      01      05      05      05      00,20      05
      02      05      10      06      00,10      10
      03      05      15      05      00,05      20
      04      05      20      06      00,01      50
      05      10      05      06      00,10      20
      06      10      10      05      00,20      50
      07      10      15      06      00,01      05
      08      10      20      05      00,05      10
      09      15      05      06      00,05      50
      10      15      10      05      00,01      20
      11      15      15      06      00,20      10
      12      15      20      05      00,10      05
      13      20      05      05      00,01      10
      14      20      10      06      00,05      05
      15      20      15      05      00,10      50
      16      20      20      06      00,20      20
      17      05      25      05      00,20      05
      18      05      30      06      00,10      10
      19      05      35      05      00,05      20
      20      05      40      06      00,01      50
      21      10      25      06      00,10      20
      22      10      30      05      00,20      50
      23      10      35      06      00,01      05
      24      10      40      05      00,05      10
      25      15      25      06      00,05      50
      26      15      30      05      00,01      20
      27      15      35      06      00,20      10
      28      15      40      05      00,10      05
      29      20      25      05      00,01      10
      30      20      30      06      00,05      05
      31      20      35      05      00,10      50
      32      20      40      06      00,20      20
