% nSim ->    2800
  nExp  nIn  hLS      trFcn    lr    trC

     1   5    2    trainlm  0.20   1000
     2   5    2    trainlm  0.20   5000
     3   5    2    trainlm  0.20  10000
     4   5    2    trainlm  0.20  20000
     5   5    2    trainlm  0.20  50000
     6   5    2    trainlm  0.10   1000
     7   5    2    trainlm  0.10   5000
     8   5    2    trainlm  0.10  10000
     9   5    2    trainlm  0.10  20000
    10   5    2    trainlm  0.10  50000
    11   5    2    trainlm  0.05   1000
    12   5    2    trainlm  0.05   5000
    13   5    2    trainlm  0.05  10000
    14   5    2    trainlm  0.05  20000
    15   5    2    trainlm  0.05  50000
    16   5    2    trainlm  0.01   1000
    17   5    2    trainlm  0.01   5000
    18   5    2    trainlm  0.01  10000
    19   5    2    trainlm  0.01  20000
    20   5    2    trainlm  0.01  50000
    21   5    2    traingd  0.20   1000
    22   5    2    traingd  0.20   5000
    23   5    2    traingd  0.20  10000
    24   5    2    traingd  0.20  20000
    25   5    2    traingd  0.20  50000
    26   5    2    traingd  0.10   1000
    27   5    2    traingd  0.10   5000
    28   5    2    traingd  0.10  10000
    29   5    2    traingd  0.10  20000
    30   5    2    traingd  0.10  50000
    31   5    2    traingd  0.05   1000
    32   5    2    traingd  0.05   5000
    33   5    2    traingd  0.05  10000
    34   5    2    traingd  0.05  20000
    35   5    2    traingd  0.05  50000
    36   5    2    traingd  0.01   1000
    37   5    2    traingd  0.01   5000
    38   5    2    traingd  0.01  10000
    39   5    2    traingd  0.01  20000
    40   5    2    traingd  0.01  50000
    41   5    2   traingda  0.20   1000
    42   5    2   traingda  0.20   5000
    43   5    2   traingda  0.20  10000
    44   5    2   traingda  0.20  20000
    45   5    2   traingda  0.20  50000
    46   5    2   traingda  0.10   1000
    47   5    2   traingda  0.10   5000
    48   5    2   traingda  0.10  10000
    49   5    2   traingda  0.10  20000
    50   5    2   traingda  0.10  50000
    51   5    2   traingda  0.05   1000
    52   5    2   traingda  0.05   5000
    53   5    2   traingda  0.05  10000
    54   5    2   traingda  0.05  20000
    55   5    2   traingda  0.05  50000
    56   5    2   traingda  0.01   1000
