% nSim ->    2688
%      nExp        nIn        hLS      trFcn         lr        trC
          1         14          6    trainlm       0.01    1000000
          2         14          6    trainlm       0.01    2000000
          3         14          6    trainlm       0.01    5000000
          4         14          6    trainlm       0.01    1000000
          5         14          6    trainlm       0.05    1000000
          6         14          6    trainlm       0.05    2000000
          7         14          6    trainlm       0.05    5000000
          8         14          6    trainlm       0.05    1000000
          9         14          6    trainlm       0.10    1000000
         10         14          6    trainlm       0.10    2000000
         11         14          6    trainlm       0.10    5000000
         12         14          6    trainlm       0.10    1000000
         13         14          6    trainlm       0.20    1000000
         14         14          6    trainlm       0.20    2000000
         15         14          6    trainlm       0.20    5000000
         16         14          6    trainlm       0.20    1000000
         17         14          6    trainrp       0.01    1000000
         18         14          6    trainrp       0.01    2000000
         19         14          6    trainrp       0.01    5000000
         20         14          6    trainrp       0.01    1000000
         21         14          6    trainrp       0.05    1000000
         22         14          6    trainrp       0.05    2000000
         23         14          6    trainrp       0.05    5000000
         24         14          6    trainrp       0.05    1000000
         25         14          6    trainrp       0.10    1000000
         26         14          6    trainrp       0.10    2000000
         27         14          6    trainrp       0.10    5000000
         28         14          6    trainrp       0.10    1000000
         29         14          6    trainrp       0.20    1000000
         30         14          6    trainrp       0.20    2000000
         31         14          6    trainrp       0.20    5000000
         32         14          6    trainrp       0.20    1000000
         33         14          6   trainscg       0.01    1000000
         34         14          6   trainscg       0.01    2000000
         35         14          6   trainscg       0.01    5000000
         36         14          6   trainscg       0.01    1000000
         37         14          6   trainscg       0.05    1000000
         38         14          6   trainscg       0.05    2000000
         39         14          6   trainscg       0.05    5000000
         40         14          6   trainscg       0.05    1000000
         41         14          6   trainscg       0.10    1000000
         42         14          6   trainscg       0.10    2000000
         43         14          6   trainscg       0.10    5000000
         44         14          6   trainscg       0.10    1000000
         45         14          6   trainscg       0.20    1000000
         46         14          6   trainscg       0.20    2000000
         47         14          6   trainscg       0.20    5000000
         48         14          6   trainscg       0.20    1000000
         49         14          9    trainlm       0.01    1000000
         50         14          9    trainlm       0.01    2000000
         51         14          9    trainlm       0.01    5000000
         52         14          9    trainlm       0.01    1000000
         53         14          9    trainlm       0.05    1000000
         54         14          9    trainlm       0.05    2000000
         55         14          9    trainlm       0.05    5000000
         56         14          9    trainlm       0.05    1000000
         57         14          9    trainlm       0.10    1000000
         58         14          9    trainlm       0.10    2000000
         59         14          9    trainlm       0.10    5000000
         60         14          9    trainlm       0.10    1000000
         61         14          9    trainlm       0.20    1000000
         62         14          9    trainlm       0.20    2000000
         63         14          9    trainlm       0.20    5000000
         64         14          9    trainlm       0.20    1000000
         65         14          9    trainrp       0.01    1000000
         66         14          9    trainrp       0.01    2000000
         67         14          9    trainrp       0.01    5000000
         68         14          9    trainrp       0.01    1000000
         69         14          9    trainrp       0.05    1000000
         70         14          9    trainrp       0.05    2000000
         71         14          9    trainrp       0.05    5000000
         72         14          9    trainrp       0.05    1000000
         73         14          9    trainrp       0.10    1000000
         74         14          9    trainrp       0.10    2000000
         75         14          9    trainrp       0.10    5000000
         76         14          9    trainrp       0.10    1000000
         77         14          9    trainrp       0.20    1000000
         78         14          9    trainrp       0.20    2000000
         79         14          9    trainrp       0.20    5000000
         80         14          9    trainrp       0.20    1000000
         81         14          9   trainscg       0.01    1000000
         82         14          9   trainscg       0.01    2000000
         83         14          9   trainscg       0.01    5000000
         84         14          9   trainscg       0.01    1000000
         85         14          9   trainscg       0.05    1000000
         86         14          9   trainscg       0.05    2000000
         87         14          9   trainscg       0.05    5000000
         88         14          9   trainscg       0.05    1000000
         89         14          9   trainscg       0.10    1000000
         90         14          9   trainscg       0.10    2000000
         91         14          9   trainscg       0.10    5000000
         92         14          9   trainscg       0.10    1000000
         93         14          9   trainscg       0.20    1000000
         94         14          9   trainscg       0.20    2000000
         95         14          9   trainscg       0.20    5000000
         96         14          9   trainscg       0.20    1000000
         97         14         12    trainlm       0.01    1000000
         98         14         12    trainlm       0.01    2000000
         99         14         12    trainlm       0.01    5000000
        100         14         12    trainlm       0.01    1000000
        101         14         12    trainlm       0.05    1000000
        102         14         12    trainlm       0.05    2000000
        103         14         12    trainlm       0.05    5000000
        104         14         12    trainlm       0.05    1000000
        105         14         12    trainlm       0.10    1000000
        106         14         12    trainlm       0.10    2000000
        107         14         12    trainlm       0.10    5000000
        108         14         12    trainlm       0.10    1000000
        109         14         12    trainlm       0.20    1000000
        110         14         12    trainlm       0.20    2000000
        111         14         12    trainlm       0.20    5000000
        112         14         12    trainlm       0.20    1000000
        113         14         12    trainrp       0.01    1000000
        114         14         12    trainrp       0.01    2000000
        115         14         12    trainrp       0.01    5000000
        116         14         12    trainrp       0.01    1000000
        117         14         12    trainrp       0.05    1000000
        118         14         12    trainrp       0.05    2000000
        119         14         12    trainrp       0.05    5000000
        120         14         12    trainrp       0.05    1000000
        121         14         12    trainrp       0.10    1000000
        122         14         12    trainrp       0.10    2000000
        123         14         12    trainrp       0.10    5000000
        124         14         12    trainrp       0.10    1000000
        125         14         12    trainrp       0.20    1000000
        126         14         12    trainrp       0.20    2000000
        127         14         12    trainrp       0.20    5000000
        128         14         12    trainrp       0.20    1000000
        129         14         12   trainscg       0.01    1000000
        130         14         12   trainscg       0.01    2000000
        131         14         12   trainscg       0.01    5000000
        132         14         12   trainscg       0.01    1000000
        133         14         12   trainscg       0.05    1000000
        134         14         12   trainscg       0.05    2000000
        135         14         12   trainscg       0.05    5000000
        136         14         12   trainscg       0.05    1000000
        137         14         12   trainscg       0.10    1000000
        138         14         12   trainscg       0.10    2000000
        139         14         12   trainscg       0.10    5000000
        140         14         12   trainscg       0.10    1000000
        141         14         12   trainscg       0.20    1000000
        142         14         12   trainscg       0.20    2000000
        143         14         12   trainscg       0.20    5000000
        144         14         12   trainscg       0.20    1000000
        145         14         18    trainlm       0.01    1000000
        146         14         18    trainlm       0.01    2000000
        147         14         18    trainlm       0.01    5000000
        148         14         18    trainlm       0.01    1000000
        149         14         18    trainlm       0.05    1000000
        150         14         18    trainlm       0.05    2000000
        151         14         18    trainlm       0.05    5000000
        152         14         18    trainlm       0.05    1000000
        153         14         18    trainlm       0.10    1000000
        154         14         18    trainlm       0.10    2000000
        155         14         18    trainlm       0.10    5000000
        156         14         18    trainlm       0.10    1000000
        157         14         18    trainlm       0.20    1000000
        158         14         18    trainlm       0.20    2000000
        159         14         18    trainlm       0.20    5000000
        160         14         18    trainlm       0.20    1000000
        161         14         18    trainrp       0.01    1000000
        162         14         18    trainrp       0.01    2000000
        163         14         18    trainrp       0.01    5000000
        164         14         18    trainrp       0.01    1000000
        165         14         18    trainrp       0.05    1000000
        166         14         18    trainrp       0.05    2000000
        167         14         18    trainrp       0.05    5000000
        168         14         18    trainrp       0.05    1000000
        169         14         18    trainrp       0.10    1000000
        170         14         18    trainrp       0.10    2000000
        171         14         18    trainrp       0.10    5000000
        172         14         18    trainrp       0.10    1000000
        173         14         18    trainrp       0.20    1000000
        174         14         18    trainrp       0.20    2000000
        175         14         18    trainrp       0.20    5000000
        176         14         18    trainrp       0.20    1000000
        177         14         18   trainscg       0.01    1000000
        178         14         18   trainscg       0.01    2000000
        179         14         18   trainscg       0.01    5000000
        180         14         18   trainscg       0.01    1000000
        181         14         18   trainscg       0.05    1000000
        182         14         18   trainscg       0.05    2000000
        183         14         18   trainscg       0.05    5000000
        184         14         18   trainscg       0.05    1000000
        185         14         18   trainscg       0.10    1000000
        186         14         18   trainscg       0.10    2000000
        187         14         18   trainscg       0.10    5000000
        188         14         18   trainscg       0.10    1000000
        189         14         18   trainscg       0.20    1000000
        190         14         18   trainscg       0.20    2000000
        191         14         18   trainscg       0.20    5000000
        192         14         18   trainscg       0.20    1000000
        193         14         24    trainlm       0.01    1000000
        194         14         24    trainlm       0.01    2000000
        195         14         24    trainlm       0.01    5000000
        196         14         24    trainlm       0.01    1000000
        197         14         24    trainlm       0.05    1000000
        198         14         24    trainlm       0.05    2000000
        199         14         24    trainlm       0.05    5000000
        200         14         24    trainlm       0.05    1000000
        201         14         24    trainlm       0.10    1000000
        202         14         24    trainlm       0.10    2000000
        203         14         24    trainlm       0.10    5000000
        204         14         24    trainlm       0.10    1000000
        205         14         24    trainlm       0.20    1000000
        206         14         24    trainlm       0.20    2000000
        207         14         24    trainlm       0.20    5000000
        208         14         24    trainlm       0.20    1000000
        209         14         24    trainrp       0.01    1000000
        210         14         24    trainrp       0.01    2000000
        211         14         24    trainrp       0.01    5000000
        212         14         24    trainrp       0.01    1000000
        213         14         24    trainrp       0.05    1000000
        214         14         24    trainrp       0.05    2000000
        215         14         24    trainrp       0.05    5000000
        216         14         24    trainrp       0.05    1000000
        217         14         24    trainrp       0.10    1000000
        218         14         24    trainrp       0.10    2000000
        219         14         24    trainrp       0.10    5000000
        220         14         24    trainrp       0.10    1000000
        221         14         24    trainrp       0.20    1000000
        222         14         24    trainrp       0.20    2000000
        223         14         24    trainrp       0.20    5000000
        224         14         24    trainrp       0.20    1000000
        225         14         24   trainscg       0.01    1000000
        226         14         24   trainscg       0.01    2000000
        227         14         24   trainscg       0.01    5000000
        228         14         24   trainscg       0.01    1000000
        229         14         24   trainscg       0.05    1000000
        230         14         24   trainscg       0.05    2000000
        231         14         24   trainscg       0.05    5000000
        232         14         24   trainscg       0.05    1000000
        233         14         24   trainscg       0.10    1000000
        234         14         24   trainscg       0.10    2000000
        235         14         24   trainscg       0.10    5000000
        236         14         24   trainscg       0.10    1000000
        237         14         24   trainscg       0.20    1000000
        238         14         24   trainscg       0.20    2000000
        239         14         24   trainscg       0.20    5000000
        240         14         24   trainscg       0.20    1000000
        241         14         36    trainlm       0.01    1000000
        242         14         36    trainlm       0.01    2000000
        243         14         36    trainlm       0.01    5000000
        244         14         36    trainlm       0.01    1000000
        245         14         36    trainlm       0.05    1000000
        246         14         36    trainlm       0.05    2000000
        247         14         36    trainlm       0.05    5000000
        248         14         36    trainlm       0.05    1000000
        249         14         36    trainlm       0.10    1000000
        250         14         36    trainlm       0.10    2000000
        251         14         36    trainlm       0.10    5000000
        252         14         36    trainlm       0.10    1000000
        253         14         36    trainlm       0.20    1000000
        254         14         36    trainlm       0.20    2000000
        255         14         36    trainlm       0.20    5000000
        256         14         36    trainlm       0.20    1000000
        257         14         36    trainrp       0.01    1000000
        258         14         36    trainrp       0.01    2000000
        259         14         36    trainrp       0.01    5000000
        260         14         36    trainrp       0.01    1000000
        261         14         36    trainrp       0.05    1000000
        262         14         36    trainrp       0.05    2000000
        263         14         36    trainrp       0.05    5000000
        264         14         36    trainrp       0.05    1000000
        265         14         36    trainrp       0.10    1000000
        266         14         36    trainrp       0.10    2000000
        267         14         36    trainrp       0.10    5000000
        268         14         36    trainrp       0.10    1000000
        269         14         36    trainrp       0.20    1000000
        270         14         36    trainrp       0.20    2000000
        271         14         36    trainrp       0.20    5000000
        272         14         36    trainrp       0.20    1000000
        273         14         36   trainscg       0.01    1000000
        274         14         36   trainscg       0.01    2000000
        275         14         36   trainscg       0.01    5000000
        276         14         36   trainscg       0.01    1000000
        277         14         36   trainscg       0.05    1000000
        278         14         36   trainscg       0.05    2000000
        279         14         36   trainscg       0.05    5000000
        280         14         36   trainscg       0.05    1000000
        281         14         36   trainscg       0.10    1000000
        282         14         36   trainscg       0.10    2000000
        283         14         36   trainscg       0.10    5000000
        284         14         36   trainscg       0.10    1000000
        285         14         36   trainscg       0.20    1000000
        286         14         36   trainscg       0.20    2000000
        287         14         36   trainscg       0.20    5000000
        288         14         36   trainscg       0.20    1000000
        289         14         48    trainlm       0.01    1000000
        290         14         48    trainlm       0.01    2000000
        291         14         48    trainlm       0.01    5000000
        292         14         48    trainlm       0.01    1000000
        293         14         48    trainlm       0.05    1000000
        294         14         48    trainlm       0.05    2000000
        295         14         48    trainlm       0.05    5000000
        296         14         48    trainlm       0.05    1000000
        297         14         48    trainlm       0.10    1000000
        298         14         48    trainlm       0.10    2000000
        299         14         48    trainlm       0.10    5000000
        300         14         48    trainlm       0.10    1000000
        301         14         48    trainlm       0.20    1000000
        302         14         48    trainlm       0.20    2000000
        303         14         48    trainlm       0.20    5000000
        304         14         48    trainlm       0.20    1000000
        305         14         48    trainrp       0.01    1000000
        306         14         48    trainrp       0.01    2000000
        307         14         48    trainrp       0.01    5000000
        308         14         48    trainrp       0.01    1000000
        309         14         48    trainrp       0.05    1000000
        310         14         48    trainrp       0.05    2000000
        311         14         48    trainrp       0.05    5000000
        312         14         48    trainrp       0.05    1000000
        313         14         48    trainrp       0.10    1000000
        314         14         48    trainrp       0.10    2000000
        315         14         48    trainrp       0.10    5000000
