% nSim ->    2688
%      nExp        nIn        hLS      trFcn         lr        trC
         1         14          6          1       0.20       1000
         2         14          6          1       0.20       2000
         3         14          6          1       0.20       5000
         4         14          6          1       0.20       1000
         5         14          6          1       0.10       1000
         6         14          6          1       0.10       2000
         7         14          6          1       0.10       5000
         8         14          6          1       0.10       1000
         9         14          6          1       0.05       1000
        10         14          6          1       0.05       2000
        11         14          6          1       0.05       5000
        12         14          6          1       0.05       1000
        13         14          6          1       0.01       1000
        14         14          6          1       0.01       2000
        15         14          6          1       0.01       5000
        16         14          6          1       0.01       1000
        17         14          6          2       0.20       1000
        18         14          6          2       0.20       2000
        19         14          6          2       0.20       5000
        20         14          6          2       0.20       1000
        21         14          6          2       0.10       1000
        22         14          6          2       0.10       2000
        23         14          6          2       0.10       5000
        24         14          6          2       0.10       1000
        25         14          6          2       0.05       1000
        26         14          6          2       0.05       2000
        27         14          6          2       0.05       5000
        28         14          6          2       0.05       1000
        29         14          6          2       0.01       1000
        30         14          6          2       0.01       2000
        31         14          6          2       0.01       5000
        32         14          6          2       0.01       1000
        33         14          6          3       0.20       1000
        34         14          6          3       0.20       2000
        35         14          6          3       0.20       5000
        36         14          6          3       0.20       1000
        37         14          6          3       0.10       1000
        38         14          6          3       0.10       2000
        39         14          6          3       0.10       5000
        40         14          6          3       0.10       1000
        41         14          6          3       0.05       1000
        42         14          6          3       0.05       2000
        43         14          6          3       0.05       5000
        44         14          6          3       0.05       1000
        45         14          6          3       0.01       1000
        46         14          6          3       0.01       2000
        47         14          6          3       0.01       5000
        48         14          6          3       0.01       1000
        49         14          9          1       0.20       1000
        50         14          9          1       0.20       2000
        51         14          9          1       0.20       5000
        52         14          9          1       0.20       1000
        53         14          9          1       0.10       1000
        54         14          9          1       0.10       2000
        55         14          9          1       0.10       5000
        56         14          9          1       0.10       1000
        57         14          9          1       0.05       1000
        58         14          9          1       0.05       2000
        59         14          9          1       0.05       5000
        60         14          9          1       0.05       1000
        61         14          9          1       0.01       1000
        62         14          9          1       0.01       2000
        63         14          9          1       0.01       5000
        64         14          9          1       0.01       1000
        65         14          9          2       0.20       1000
        66         14          9          2       0.20       2000
        67         14          9          2       0.20       5000
        68         14          9          2       0.20       1000
        69         14          9          2       0.10       1000
        70         14          9          2       0.10       2000
        71         14          9          2       0.10       5000
        72         14          9          2       0.10       1000
        73         14          9          2       0.05       1000
        74         14          9          2       0.05       2000
        75         14          9          2       0.05       5000
        76         14          9          2       0.05       1000
        77         14          9          2       0.01       1000
        78         14          9          2       0.01       2000
        79         14          9          2       0.01       5000
        80         14          9          2       0.01       1000
        81         14          9          3       0.20       1000
        82         14          9          3       0.20       2000
        83         14          9          3       0.20       5000
        84         14          9          3       0.20       1000
        85         14          9          3       0.10       1000
        86         14          9          3       0.10       2000
        87         14          9          3       0.10       5000
        88         14          9          3       0.10       1000
        89         14          9          3       0.05       1000
        90         14          9          3       0.05       2000
        91         14          9          3       0.05       5000
        92         14          9          3       0.05       1000
        93         14          9          3       0.01       1000
        94         14          9          3       0.01       2000
        95         14          9          3       0.01       5000
        96         14          9          3       0.01       1000
        97         14         12          1       0.20       1000
        98         14         12          1       0.20       2000
        99         14         12          1       0.20       5000
       100         14         12          1       0.20       1000
       101         14         12          1       0.10       1000
       102         14         12          1       0.10       2000
       103         14         12          1       0.10       5000
       104         14         12          1       0.10       1000
       105         14         12          1       0.05       1000
       106         14         12          1       0.05       2000
       107         14         12          1       0.05       5000
       108         14         12          1       0.05       1000
       109         14         12          1       0.01       1000
       110         14         12          1       0.01       2000
       111         14         12          1       0.01       5000
       112         14         12          1       0.01       1000
       113         14         12          2       0.20       1000
       114         14         12          2       0.20       2000
       115         14         12          2       0.20       5000
       116         14         12          2       0.20       1000
       117         14         12          2       0.10       1000
       118         14         12          2       0.10       2000
       119         14         12          2       0.10       5000
       120         14         12          2       0.10       1000
       121         14         12          2       0.05       1000
       122         14         12          2       0.05       2000
       123         14         12          2       0.05       5000
       124         14         12          2       0.05       1000
       125         14         12          2       0.01       1000
       126         14         12          2       0.01       2000
       127         14         12          2       0.01       5000
       128         14         12          2       0.01       1000
       129         14         12          3       0.20       1000
       130         14         12          3       0.20       2000
       131         14         12          3       0.20       5000
       132         14         12          3       0.20       1000
       133         14         12          3       0.10       1000
       134         14         12          3       0.10       2000
       135         14         12          3       0.10       5000
       136         14         12          3       0.10       1000
       137         14         12          3       0.05       1000
       138         14         12          3       0.05       2000
       139         14         12          3       0.05       5000
       140         14         12          3       0.05       1000
       141         14         12          3       0.01       1000
       142         14         12          3       0.01       2000
       143         14         12          3       0.01       5000
       144         14         12          3       0.01       1000
       145         14         18          1       0.20       1000
       146         14         18          1       0.20       2000
       147         14         18          1       0.20       5000
       148         14         18          1       0.20       1000
       149         14         18          1       0.10       1000
       150         14         18          1       0.10       2000
       151         14         18          1       0.10       5000
       152         14         18          1       0.10       1000
       153         14         18          1       0.05       1000
       154         14         18          1       0.05       2000
       155         14         18          1       0.05       5000
       156         14         18          1       0.05       1000
       157         14         18          1       0.01       1000
       158         14         18          1       0.01       2000
       159         14         18          1       0.01       5000
       160         14         18          1       0.01       1000
       161         14         18          2       0.20       1000
       162         14         18          2       0.20       2000
       163         14         18          2       0.20       5000
       164         14         18          2       0.20       1000
       165         14         18          2       0.10       1000
       166         14         18          2       0.10       2000
       167         14         18          2       0.10       5000
       168         14         18          2       0.10       1000
       169         14         18          2       0.05       1000
       170         14         18          2       0.05       2000
       171         14         18          2       0.05       5000
       172         14         18          2       0.05       1000
       173         14         18          2       0.01       1000
       174         14         18          2       0.01       2000
       175         14         18          2       0.01       5000
       176         14         18          2       0.01       1000
       177         14         18          3       0.20       1000
       178         14         18          3       0.20       2000
       179         14         18          3       0.20       5000
       180         14         18          3       0.20       1000
       181         14         18          3       0.10       1000
       182         14         18          3       0.10       2000
       183         14         18          3       0.10       5000
       184         14         18          3       0.10       1000
       185         14         18          3       0.05       1000
       186         14         18          3       0.05       2000
       187         14         18          3       0.05       5000
       188         14         18          3       0.05       1000
       189         14         18          3       0.01       1000
       190         14         18          3       0.01       2000
       191         14         18          3       0.01       5000
       192         14         18          3       0.01       1000
       193         14         24          1       0.20       1000
       194         14         24          1       0.20       2000
       195         14         24          1       0.20       5000
       196         14         24          1       0.20       1000
       197         14         24          1       0.10       1000
       198         14         24          1       0.10       2000
       199         14         24          1       0.10       5000
       200         14         24          1       0.10       1000
       201         14         24          1       0.05       1000
       202         14         24          1       0.05       2000
       203         14         24          1       0.05       5000
       204         14         24          1       0.05       1000
       205         14         24          1       0.01       1000
       206         14         24          1       0.01       2000
       207         14         24          1       0.01       5000
       208         14         24          1       0.01       1000
       209         14         24          2       0.20       1000
       210         14         24          2       0.20       2000
       211         14         24          2       0.20       5000
       212         14         24          2       0.20       1000
       213         14         24          2       0.10       1000
       214         14         24          2       0.10       2000
       215         14         24          2       0.10       5000
       216         14         24          2       0.10       1000
       217         14         24          2       0.05       1000
       218         14         24          2       0.05       2000
       219         14         24          2       0.05       5000
       220         14         24          2       0.05       1000
       221         14         24          2       0.01       1000
       222         14         24          2       0.01       2000
       223         14         24          2       0.01       5000
       224         14         24          2       0.01       1000
       225         14         24          3       0.20       1000
       226         14         24          3       0.20       2000
       227         14         24          3       0.20       5000
       228         14         24          3       0.20       1000
       229         14         24          3       0.10       1000
       230         14         24          3       0.10       2000
       231         14         24          3       0.10       5000
       232         14         24          3       0.10       1000
       233         14         24          3       0.05       1000
       234         14         24          3       0.05       2000
       235         14         24          3       0.05       5000
       236         14         24          3       0.05       1000
       237         14         24          3       0.01       1000
       238         14         24          3       0.01       2000
       239         14         24          3       0.01       5000
       240         14         24          3       0.01       1000
       241         14         36          1       0.20       1000
       242         14         36          1       0.20       2000
       243         14         36          1       0.20       5000
       244         14         36          1       0.20       1000
       245         14         36          1       0.10       1000
       246         14         36          1       0.10       2000
       247         14         36          1       0.10       5000
       248         14         36          1       0.10       1000
       249         14         36          1       0.05       1000
       250         14         36          1       0.05       2000
       251         14         36          1       0.05       5000
       252         14         36          1       0.05       1000
       253         14         36          1       0.01       1000
       254         14         36          1       0.01       2000
       255         14         36          1       0.01       5000
       256         14         36          1       0.01       1000
       257         14         36          2       0.20       1000
       258         14         36          2       0.20       2000
       259         14         36          2       0.20       5000
       260         14         36          2       0.20       1000
       261         14         36          2       0.10       1000
       262         14         36          2       0.10       2000
       263         14         36          2       0.10       5000
       264         14         36          2       0.10       1000
       265         14         36          2       0.05       1000
       266         14         36          2       0.05       2000
       267         14         36          2       0.05       5000
       268         14         36          2       0.05       1000
       269         14         36          2       0.01       1000
       270         14         36          2       0.01       2000
       271         14         36          2       0.01       5000
       272         14         36          2       0.01       1000
       273         14         36          3       0.20       1000
       274         14         36          3       0.20       2000
       275         14         36          3       0.20       5000
       276         14         36          3       0.20       1000
       277         14         36          3       0.10       1000
       278         14         36          3       0.10       2000
       279         14         36          3       0.10       5000
       280         14         36          3       0.10       1000
       281         14         36          3       0.05       1000
       282         14         36          3       0.05       2000
       283         14         36          3       0.05       5000
       284         14         36          3       0.05       1000
       285         14         36          3       0.01       1000
       286         14         36          3       0.01       2000
       287         14         36          3       0.01       5000
       288         14         36          3       0.01       1000
       289         14         48          1       0.20       1000
       290         14         48          1       0.20       2000
       291         14         48          1       0.20       5000
       292         14         48          1       0.20       1000
       293         14         48          1       0.10       1000
