% nSim ->     816
%      nExp        nIn        hLS      trFcn         lr        trC
         1          5          3          1       0.20       5000
         2          5          3          1       0.10       5000
         3          5          3          1       0.05       5000
         4          5          3          1       0.01       5000
         5          5          3          2       0.20       5000
         6          5          3          2       0.10       5000
         7          5          3          2       0.05       5000
         8          5          3          2       0.01       5000
         9          5          4          1       0.20       5000
        10          5          4          1       0.10       5000
        11          5          4          1       0.05       5000
        12          5          4          1       0.01       5000
        13          5          4          2       0.20       5000
        14          5          4          2       0.10       5000
        15          5          4          2       0.05       5000
        16          5          4          2       0.01       5000
        17          5          5          1       0.20       5000
        18          5          5          1       0.10       5000
        19          5          5          1       0.05       5000
        20          5          5          1       0.01       5000
        21          5          5          2       0.20       5000
        22          5          5          2       0.10       5000
        23          5          5          2       0.05       5000
        24          5          5          2       0.01       5000
        25          5          8          1       0.20       5000
        26          5          8          1       0.10       5000
        27          5          8          1       0.05       5000
        28          5          8          1       0.01       5000
        29          5          8          2       0.20       5000
        30          5          8          2       0.10       5000
        31          5          8          2       0.05       5000
        32          5          8          2       0.01       5000
        33          5         10          1       0.20       5000
        34          5         10          1       0.10       5000
        35          5         10          1       0.05       5000
        36          5         10          1       0.01       5000
        37          5         10          2       0.20       5000
        38          5         10          2       0.10       5000
        39          5         10          2       0.05       5000
        40          5         10          2       0.01       5000
        41          5         12          1       0.20       5000
        42          5         12          1       0.10       5000
        43          5         12          1       0.05       5000
        44          5         12          1       0.01       5000
        45          5         12          2       0.20       5000
        46          5         12          2       0.10       5000
        47          5         12          2       0.05       5000
        48          5         12          2       0.01       5000
        49          5         15          1       0.20       5000
        50          5         15          1       0.10       5000
        51          5         15          1       0.05       5000
        52          5         15          1       0.01       5000
        53          5         15          2       0.20       5000
        54          5         15          2       0.10       5000
        55          5         15          2       0.05       5000
        56          5         15          2       0.01       5000
        57          5         18          1       0.20       5000
        58          5         18          1       0.10       5000
        59          5         18          1       0.05       5000
        60          5         18          1       0.01       5000
        61          5         18          2       0.20       5000
        62          5         18          2       0.10       5000
        63          5         18          2       0.05       5000
        64          5         18          2       0.01       5000
        65          5         20          1       0.20       5000
        66          5         20          1       0.10       5000
        67          5         20          1       0.05       5000
        68          5         20          1       0.01       5000
        69          5         20          2       0.20       5000
        70          5         20          2       0.10       5000
        71          5         20          2       0.05       5000
        72          5         20          2       0.01       5000
        73          5         25          1       0.20       5000
        74          5         25          1       0.10       5000
        75          5         25          1       0.05       5000
        76          5         25          1       0.01       5000
        77          5         25          2       0.20       5000
        78          5         25          2       0.10       5000
        79          5         25          2       0.05       5000
        80          5         25          2       0.01       5000
        81          5         30          1       0.20       5000
        82          5         30          1       0.10       5000
        83          5         30          1       0.05       5000
        84          5         30          1       0.01       5000
        85          5         30          2       0.20       5000
        86          5         30          2       0.10       5000
        87          5         30          2       0.05       5000
        88          5         30          2       0.01       5000
        89          5         35          1       0.20       5000
        90          5         35          1       0.10       5000
        91          5         35          1       0.05       5000
        92          5         35          1       0.01       5000
        93          5         35          2       0.20       5000
        94          5         35          2       0.10       5000
        95          5         35          2       0.05       5000
        96          5         35          2       0.01       5000
        97          5         40          1       0.20       5000
        98          5         40          1       0.10       5000
        99          5         40          1       0.05       5000
       100          5         40          1       0.01       5000
       101          5         40          2       0.20       5000
       102          5         40          2       0.10       5000
       103          5         40          2       0.05       5000
       104          5         40          2       0.01       5000
       105          5         45          1       0.20       5000
       106          5         45          1       0.10       5000
       107          5         45          1       0.05       5000
       108          5         45          1       0.01       5000
       109          5         45          2       0.20       5000
       110          5         45          2       0.10       5000
       111          5         45          2       0.05       5000
       112          5         45          2       0.01       5000
       113          5         50          1       0.20       5000
       114          5         50          1       0.10       5000
       115          5         50          1       0.05       5000
       116          5         50          1       0.01       5000
       117          5         50          2       0.20       5000
       118          5         50          2       0.10       5000
       119          5         50          2       0.05       5000
       120          5         50          2       0.01       5000
       121          5         55          1       0.20       5000
       122          5         55          1       0.10       5000
       123          5         55          1       0.05       5000
       124          5         55          1       0.01       5000
       125          5         55          2       0.20       5000
       126          5         55          2       0.10       5000
       127          5         55          2       0.05       5000
       128          5         55          2       0.01       5000
       129          5         60          1       0.20       5000
       130          5         60          1       0.10       5000
       131          5         60          1       0.05       5000
       132          5         60          1       0.01       5000
       133          5         60          2       0.20       5000
       134          5         60          2       0.10       5000
       135          5         60          2       0.05       5000
       136          5         60          2       0.01       5000
       137         10          3          1       0.20       5000
       138         10          3          1       0.10       5000
       139         10          3          1       0.05       5000
       140         10          3          1       0.01       5000
       141         10          3          2       0.20       5000
       142         10          3          2       0.10       5000
       143         10          3          2       0.05       5000
       144         10          3          2       0.01       5000
       145         10          4          1       0.20       5000
       146         10          4          1       0.10       5000
       147         10          4          1       0.05       5000
       148         10          4          1       0.01       5000
       149         10          4          2       0.20       5000
       150         10          4          2       0.10       5000
       151         10          4          2       0.05       5000
       152         10          4          2       0.01       5000
       153         10          5          1       0.20       5000
       154         10          5          1       0.10       5000
       155         10          5          1       0.05       5000
       156         10          5          1       0.01       5000
       157         10          5          2       0.20       5000
       158         10          5          2       0.10       5000
       159         10          5          2       0.05       5000
       160         10          5          2       0.01       5000
       161         10          8          1       0.20       5000
       162         10          8          1       0.10       5000
       163         10          8          1       0.05       5000
       164         10          8          1       0.01       5000
       165         10          8          2       0.20       5000
       166         10          8          2       0.10       5000
       167         10          8          2       0.05       5000
       168         10          8          2       0.01       5000
       169         10         10          1       0.20       5000
       170         10         10          1       0.10       5000
       171         10         10          1       0.05       5000
       172         10         10          1       0.01       5000
       173         10         10          2       0.20       5000
       174         10         10          2       0.10       5000
       175         10         10          2       0.05       5000
       176         10         10          2       0.01       5000
       177         10         12          1       0.20       5000
       178         10         12          1       0.10       5000
       179         10         12          1       0.05       5000
       180         10         12          1       0.01       5000
       181         10         12          2       0.20       5000
       182         10         12          2       0.10       5000
       183         10         12          2       0.05       5000
       184         10         12          2       0.01       5000
       185         10         15          1       0.20       5000
       186         10         15          1       0.10       5000
       187         10         15          1       0.05       5000
       188         10         15          1       0.01       5000
       189         10         15          2       0.20       5000
       190         10         15          2       0.10       5000
       191         10         15          2       0.05       5000
       192         10         15          2       0.01       5000
       193         10         18          1       0.20       5000
       194         10         18          1       0.10       5000
       195         10         18          1       0.05       5000
       196         10         18          1       0.01       5000
       197         10         18          2       0.20       5000
       198         10         18          2       0.10       5000
       199         10         18          2       0.05       5000
       200         10         18          2       0.01       5000
       201         10         20          1       0.20       5000
       202         10         20          1       0.10       5000
       203         10         20          1       0.05       5000
       204         10         20          1       0.01       5000
       205         10         20          2       0.20       5000
       206         10         20          2       0.10       5000
       207         10         20          2       0.05       5000
       208         10         20          2       0.01       5000
       209         10         25          1       0.20       5000
       210         10         25          1       0.10       5000
       211         10         25          1       0.05       5000
       212         10         25          1       0.01       5000
       213         10         25          2       0.20       5000
       214         10         25          2       0.10       5000
       215         10         25          2       0.05       5000
       216         10         25          2       0.01       5000
       217         10         30          1       0.20       5000
       218         10         30          1       0.10       5000
       219         10         30          1       0.05       5000
       220         10         30          1       0.01       5000
       221         10         30          2       0.20       5000
       222         10         30          2       0.10       5000
       223         10         30          2       0.05       5000
       224         10         30          2       0.01       5000
       225         10         35          1       0.20       5000
       226         10         35          1       0.10       5000
       227         10         35          1       0.05       5000
       228         10         35          1       0.01       5000
       229         10         35          2       0.20       5000
       230         10         35          2       0.10       5000
       231         10         35          2       0.05       5000
       232         10         35          2       0.01       5000
       233         10         40          1       0.20       5000
       234         10         40          1       0.10       5000
       235         10         40          1       0.05       5000
       236         10         40          1       0.01       5000
       237         10         40          2       0.20       5000
       238         10         40          2       0.10       5000
       239         10         40          2       0.05       5000
       240         10         40          2       0.01       5000
       241         10         45          1       0.20       5000
       242         10         45          1       0.10       5000
       243         10         45          1       0.05       5000
       244         10         45          1       0.01       5000
       245         10         45          2       0.20       5000
       246         10         45          2       0.10       5000
       247         10         45          2       0.05       5000
       248         10         45          2       0.01       5000
       249         10         50          1       0.20       5000
       250         10         50          1       0.10       5000
       251         10         50          1       0.05       5000
       252         10         50          1       0.01       5000
       253         10         50          2       0.20       5000
       254         10         50          2       0.10       5000
       255         10         50          2       0.05       5000
       256         10         50          2       0.01       5000
       257         10         55          1       0.20       5000
       258         10         55          1       0.10       5000
       259         10         55          1       0.05       5000
       260         10         55          1       0.01       5000
